normalized_merchant,assigned_category,label_notes
RENT PAYMENT,Recharge & Bills,synthetic
DISNEY HOTSTAR,Entertainment,synthetic
AIRTEL,Recharge & Bills,synthetic
METRO TAXI,Travel,synthetic
CITY KIRANA STORE,Groceries,synthetic
NETFLIX,Entertainment,synthetic
PVR CINEMAS,Entertainment,synthetic
KFC,Food & Dining,synthetic
NIKE,Shopping,synthetic
OLA,Travel,synthetic
BESCOM,Recharge & Bills,synthetic
BROADBAND BILL,Recharge & Bills,synthetic
CITY TRANSPORT,Travel,synthetic
AMAZON,Shopping,synthetic
GANESH TIFFIN,Food & Dining,synthetic
BLINKIT,Groceries,synthetic
D-MART,Groceries,synthetic
JIO RECHARGE,Recharge & Bills,synthetic
PRIME VIDEO,Entertainment,synthetic
BURGER KING,Food & Dining,synthetic
SWIGGY,Food & Dining,synthetic
BOOKMYSHOW,Entertainment,synthetic
SPOTIFY,Entertainment,synthetic
H&M,Shopping,synthetic
GANESH BAKERY,Food & Dining,synthetic
IRCTC,Travel,synthetic
ZARA,Shopping,synthetic
LAXMI KIRANA STORE,Groceries,synthetic
MILK BASKET,Groceries,synthetic
RELIANCE FRESH,Groceries,synthetic
INDANE GAS,Recharge & Bills,synthetic
CITY FRUITS,Groceries,synthetic
ZOMATO,Food & Dining,synthetic
FLIPKART,Shopping,synthetic
GUPTA SNACKS,Food & Dining,synthetic
GOIBIBO,Travel,synthetic
RAHUL FAST FOOD,Food & Dining,synthetic
RAHUL JUICE CENTRE,Food & Dining,synthetic
CITY CABS,Travel,synthetic
UBER,Travel,synthetic
EXPRESS TAXI,Travel,synthetic
SHARMA FAST FOOD,Food & Dining,synthetic
ZEPTO,Groceries,synthetic
SHARMA TIFFIN,Food & Dining,synthetic
GANESH GENERAL STORE,Groceries,synthetic
SHARMA CHAIWALA,Food & Dining,synthetic
CITY AUTO,Travel,synthetic
SRI VEGETABLES,Groceries,synthetic
STARBUCKS,Food & Dining,synthetic
SURESH DHABA,Food & Dining,synthetic
MAKEMYTRIP,Travel,synthetic
BIGBASKET,Groceries,synthetic
MYNTRA,Shopping,synthetic
RAHUL TEA HOUSE,Food & Dining,synthetic
ANUJ CHAI,Food & Dining,synthetic
RAHUL SNACKS,Food & Dining,synthetic
QUICK TRANSPORT,Travel,synthetic
OM KIRANA STORE,Groceries,synthetic
CITY VEGETABLES,Groceries,synthetic
